1943,"0 1 2 3 4 5 6 
11 12 16 20 23 25 27 
7 9 10 14 17 
8 13 18 19 21 
15 22 26 
24 
"
1944,"0 1 2 3 4 5 6 
11 12 16 20 23 25 27 
7 9 10 14 17 
8 13 18 19 21 
15 22 26 
24 
"
1945,"0 1 2 3 4 5 6 
11 12 16 20 23 25 27 
7 9 10 14 17 
8 13 18 19 21 
15 22 26 
24 
"
1946,"0 1 2 3 4 5 6 
11 12 16 20 23 25 27 
7 9 10 14 17 
8 13 18 19 21 
15 22 26 
24 
"
1947,"0 1 2 3 4 5 6 
11 12 16 20 23 25 27 
7 9 10 14 17 
8 13 18 19 21 
15 22 26 
24 
"
1948,"0 1 2 3 4 5 6 
11 12 16 20 23 25 27 
7 9 10 14 17 
8 13 18 19 21 
15 22 26 
24 
"
1949,"0 1 2 3 4 5 6 
11 12 16 20 23 25 27 
7 9 10 14 17 
8 13 18 19 21 
15 22 26 
24 
"
1951,"0 1 2 3 4 5 6 
11 12 16 20 23 25 27 
7 9 10 14 17 
8 13 18 19 21 
15 22 26 
24 
"
1952,"0 1 2 3 4 5 6 
11 12 16 20 23 25 27 
7 9 10 14 17 
8 13 18 19 21 
15 22 26 
24 
"
1953,"0 1 2 3 4 5 6 
11 12 16 20 23 25 27 
7 9 10 14 17 
8 13 18 19 21 
15 22 26 
24 
"
1954,"0 1 2 3 4 5 6 
11 12 16 20 23 25 27 
7 9 10 14 17 
8 13 18 19 21 
15 22 26 
24 
"
1955,"0 1 2 3 4 5 6 
11 12 16 20 23 25 27 
7 9 10 14 17 
8 13 18 19 21 
15 22 26 
24 
"
1956,"0 1 2 3 4 5 6 
11 12 16 20 23 25 27 
7 9 10 14 17 
8 13 18 19 21 
15 22 26 
24 
"
1957,"0 1 2 3 4 5 6 
11 12 16 20 23 25 27 
7 9 10 14 17 
8 13 18 19 21 
15 22 26 
24 
"
1958,"0 1 2 3 4 5 6 
11 12 16 20 23 25 27 
7 9 10 14 17 
8 13 18 19 21 
15 22 26 
24 
"
1959,"0 1 2 3 4 5 6 
11 12 16 20 23 25 27 
7 9 10 14 17 
8 13 18 19 21 
15 22 26 
24 
"
1960,"0 1 2 3 4 5 6 
11 12 16 20 23 25 27 
7 9 10 14 17 
8 13 18 19 21 
15 22 26 
24 
"
1961,"0 1 2 3 4 5 6 
11 12 16 20 23 25 27 
7 9 10 14 17 
8 13 18 19 21 
15 22 26 
24 
"
1962,"0 1 2 3 4 5 6 
11 12 16 20 23 25 27 
7 9 10 14 17 
8 13 18 19 21 
15 22 26 
24 
"
1963,"0 1 2 3 4 5 6 
11 12 16 20 23 25 27 
7 9 10 14 17 
8 13 18 19 21 
15 22 26 
24 
"
1964,"0 1 2 3 4 5 6 
11 12 16 20 23 25 27 
7 9 10 14 17 
8 13 18 19 21 
15 22 26 
24 
"
1965,"0 1 2 3 4 5 6 
11 12 16 20 23 25 27 
7 9 10 14 17 
8 13 18 19 21 
15 22 26 
24 
"
1966,"0 1 2 3 4 5 6 
11 12 16 20 23 25 27 
7 9 10 14 17 
8 13 18 19 21 
15 22 26 
24 
"
1967,"0 1 2 3 4 5 6 
11 12 16 20 23 25 27 
7 9 10 14 17 
8 13 18 19 21 
15 22 26 
24 
"
1968,"0 1 2 3 4 5 6 
11 12 16 20 23 25 27 
7 9 10 14 17 
8 13 18 19 21 
15 22 26 
24 
"
1969,"0 1 2 3 4 5 6 
11 12 16 20 23 25 27 
7 9 10 14 17 
8 13 18 19 21 
15 22 26 
24 
"
1970,"0 1 2 3 4 5 6 
11 12 16 20 23 25 27 
7 9 10 14 17 
8 13 18 19 21 
15 22 26 
24 
"
1971,"0 1 2 3 4 5 6 
11 12 16 20 23 25 27 
7 9 10 14 17 
8 13 18 19 21 
15 22 26 
24 
"
1972,"0 1 2 3 4 5 6 
11 12 16 20 23 25 27 
7 9 10 14 17 
8 13 18 19 21 
15 22 26 
24 
"
1973,"0 1 2 3 4 5 6 
11 12 16 20 23 25 27 
7 9 10 14 17 
8 13 18 19 21 
15 22 26 
24 
"
1974,"0 1 2 3 4 5 6 
11 12 16 20 23 25 27 
7 9 10 14 17 
8 13 18 19 21 
15 22 26 
24 
"
1975,"0 1 2 3 4 5 6 
11 12 16 20 23 25 27 
7 9 10 14 17 
8 13 18 19 21 
15 22 26 
24 
"
1976,"0 1 2 3 4 5 6 
11 12 16 20 23 25 27 
7 9 10 14 17 
8 13 18 19 21 
15 22 26 
24 
"
1977,"0 1 2 3 4 5 6 
11 12 16 20 23 25 27 
7 9 10 14 17 
8 13 18 19 21 
15 22 26 
24 
"
1978,"0 1 2 3 4 5 6 
11 12 16 20 23 25 27 
7 9 10 14 17 
8 13 18 19 21 
15 22 26 
24 
"
1979,"0 1 2 3 4 5 6 
11 12 16 20 23 25 27 
7 9 10 14 17 
8 13 18 19 21 
15 22 26 
24 
"
1980,"0 1 2 3 4 5 6 
11 12 16 20 23 25 27 
7 9 10 14 17 
8 13 18 19 21 
15 22 26 
24 
"
1981,"0 1 2 3 4 5 6 
11 12 16 20 23 25 27 
7 9 10 14 17 
8 13 18 19 21 
15 22 26 
24 
"
